healpix,ok
459321457360376942,True
431839864552805807,True
399041081978309034,True
511039321457822860,True
382733964399210480,True
691838915206295803,True
840002058016479174,True
687643559192119481,True
396566606163122197,True
535132142141736945,True
389572024221392567,True
356968450760435305,True
356933045718945255,True
529062605110512802,True
387811559289348217,True
810288430813028412,True
408297344801981888,True
408306295450064981,True
399402576995768421,True
756006350366938957,True
515809824959881223,True
519687917328348374,True
739912210975868961,True
381402998086485299,True
690700324025821345,True
690689417941603770,True
791873811293759017,True
741342157370763664,True
740172891252762124,True
740162698579102308,True
740152993168628220,True
740160756899187266,True
460145576883651640,True
426660849032090211,True
727310449449987772,True
714268904215133068,True
714268904215229865,True
767311336369029339,True
375699790239364267,True
1249505366902601597,True
399949985127309690,True
716511870598259003,True
716542593175456498,True
763396577089705215,True
719279845315186061,True
643635752275683554,True
691506750099138618,True
523694027705843599,True
802472853029664744,True
802414687457595967,True
734568970728386572,True
421313824893925114,True
804202625294747526,True
804220613246909746,True
665357587774771211,True
2017111588617202881,True
417927964065180423,True
359431130507631643,True
753981267966235627,True
643766704836316886,True
692232047657993916,True
406777778477331024,True
829878412268109057,True
678393946715533371,True
678374302789306680,True
419500573802114442,True
419500155250476661,True
399176220741347217,True
511250384188778026,True
466581915552320790,True
789982998611922164,True
787611289181693707,True
761193275577473680,True
763322122154772996,True
736157319917947923,True
736156410246212539,True
423419733885026312,True
714414687680287198,True
714453496214850741,True
714410441341739958,True
375987533986515597,True
804035853524744325,True
357533632185159387,True
507992532704600411,True
377906662944267820,True
743724924246761817,True
379988997129137675,True
2013630349324661060,True
455314477987753584,True
454502364805331066,True
777621909415496268,True
760332467160466387,True
718101318464731041,True
664540840701801468,True
422856631158791909,True
508195310536591219,True
449325159895154026,True
351050060821525777,True
509031085200978065,True
408249050633445017,True
408238166276861099,True
791794402275962426,True
791800429071114897,True
791796084949565023,True
791794256921878234,True
791794796174841743,True
452922028738259812,True
350750356309300676,True
714543206556069860,True
714582529702273584,True
714549931027596296,True
779714623840183054,True
779714066310859303,True
376704529910446882,True
790789629434208829,True
388088149028636698,True
806650979271634229,True
714623532664488457,True
714610340797916529,True
739997914961525269,True
787918292375673721,True
810721890416710944,True
810720357279711100,True
804627599273472900,True
1249217479425521039,True
393328438158798524,True
421224185399683125,True
2016869643318537471,True
2012315685455834321,True
529359844632321634,True
466174729084258234,True
750015584276182070,True
381114340304333329,True
521233725094925982,True
690881508016476049,True
