main_id,coo_bibcode,object_id,ra_in,dec_in,_source_set,_survey,object_id_clean,row_key
LEDA 2421400,2020yCat.1350....0G,39633290042280694,214.44851958132017,52.69536914221976,filtered_data,desi,39633290042280694,181
LEDA 2421400,2020yCat.1350....0G,2305843021192626433,214.44852228724884,52.6953784033264,filtered_data,desi,2305843021192626433,182
SDSS J141801.50+525200.7,2012ApJS..203...21A,39633290042281204,214.5063109837971,52.86688317131286,filtered_data,desi,39633290042281204,183
[VV2006] J142052.4+525621,2020yCat.1350....0G,39633293712294345,215.21849460094836,52.93955256422972,filtered_data,desi,39633293712294345,184
[VV2006] J142005.5+530037,2020yCat.1350....0G,39633293708101943,215.02332975730096,53.01020286173981,filtered_data,desi,39633293708101943,185
DEEP2-GRS 13035212,2011ApJS..193...30B,39633293708101693,214.99677296427407,53.0073879533704,filtered_data,desi,39633293708101693,186
SDSS J141957.86+531023.1,2012ApJS..203...21A,39633297348756076,214.99111818712527,53.17306264060619,filtered_data,desi,39633297348756076,187
[VV98] J141534.3+533714,2020yCat.1350....0G,39633300951666210,213.8929310364742,53.62057343092352,filtered_data,desi,39633300951666210,188
SDSS J142348.80+533006.2,2020yCat.1350....0G,39633300972637143,215.95335147274344,53.50172260721888,filtered_data,desi,39633300972637143,189
LEDA 2444502,2015ApJS..219...12A,39633300964248355,215.04525551070563,53.5616618718698,filtered_data,desi,39633300964248355,190
2MASX J14203020+5351592,2020yCat.1350....0G,39633304562960282,215.12568756781127,53.86646342032621,filtered_data,desi,39633304562960282,191
ICRF J160607.6+552135,2020A&A...644A.159C,39633325932940718,241.53177983834053,55.35983466871031,filtered_data,desi,39633325932940718,192
Z 275-21,2020yCat.1350....0G,39633325932939907,241.4522238391856,55.36471837329437,filtered_data,desi,39633325932939907,193
[BFB2004] VV 29 4941,2004ApJS..150....1B,39633329380656048,241.54882039622137,55.46203912035658,filtered_data,desi,39633329380656048,194
SDSS J160915.16+561943.2,2020ApJS..250....8L,39633339585397283,242.31315369763288,56.32867707785002,filtered_data,desi,39633339585397283,195
NVSS J174554+670349,2020A&A...644A.159C,39633463497724117,266.4764563285868,67.06367421028928,filtered_data,desi,39633463497724117,196
6C 180549+614029,2020A&A...644A.159C,39633408481036496,271.5831078569326,61.68842495387716,filtered_data,desi,39633408481036496,197
2MASS J18034128+6156530,2020yCat.1350....0G,39633411333164269,270.92202641624164,61.94814499457222,filtered_data,desi,39633411333164269,198
[SIK2013] J180221.8+671003.3,2013ApJS..207...37S,39633465880088345,270.5911742201355,67.16758675595172,filtered_data,desi,39633465880088345,199
[VV2006] J115941.0-012708,2020yCat.1350....0G,39627751505792383,179.92071229942792,-1.4523366432153513,filtered_data,desi,39627751505792383,200
[VV2006] J115952.9-012236,2020yCat.1350....0G,39627751505793543,179.97015417236773,-1.3765233011069298,filtered_data,desi,39627751505793543,201
NVSS J120028-000725,2020yCat.1350....0G,39627787748772726,180.12031098861652,-0.123547921224478,filtered_data,desi,39627787748772726,202
[VV2006] J140653.1-014554,2020yCat.1350....0G,39627745998672980,211.72126593471367,-1.7652524786654369,filtered_data,desi,39627745998672980,203
LEDA 1117662,2020yCat.1350....0G,39627752051053384,212.4905057323288,-1.480709114240537,filtered_data,desi,39627752051053384,204
2MASS J14092355-0124302,2020yCat.1350....0G,39627752051050416,212.34798856942663,-1.408493843379412,filtered_data,desi,39627752051050416,205
Z  18-94,2020yCat.1350....0G,39627752076214843,213.7749867524709,-1.5568570547674796,filtered_data,desi,39627752076214843,206
FIRST J141437.3-002801,2009ApJS..182..543A,39627776231214784,213.6557247606129,-0.4669823763809714,filtered_data,desi,39627776231214784,207
LEDA 1098647,2020yCat.1350....0G,39627734065874069,220.2981031660526,-2.209776377504342,filtered_data,desi,39627734065874069,208
SDSS J143743.01-014742.6,2020yCat.1350....0G,39627746128695641,219.4292252896849,-1.7951804327644396,filtered_data,desi,39627746128695641,209
SDSS J143459.27-014432.8,2020yCat.1350....0G,39627746116113947,218.7469404240753,-1.742508626002129,filtered_data,desi,39627746116113947,210
2QZ J143822.8-011636,2020yCat.1350....0G,39627758212483504,219.59550985731363,-1.2766861421498807,filtered_data,desi,39627758212483504,211
SDSS J143454.41-011618.0,2020yCat.1350....0G,39627758195708345,218.7267018941617,-1.2716698865200842,filtered_data,desi,39627758195708345,212
LBQS 1433-0025,2020yCat.1350....0G,39627770283690935,219.11859470222257,-0.6444905876774719,filtered_data,desi,39627770283690935,213
SDSS J143818.01-002057.5,2009ApJS..182..543A,39627782371673707,219.5750776298245,-0.3493071914561615,filtered_data,desi,39627782371673707,214
SDSS J144205.40-005248.5,2020yCat.1350....0G,39627764269056634,220.52253960197427,-0.8801270465329202,filtered_data,desi,39627764269056634,215
2SLAQ J144110.62-002754.5,2020yCat.1350....0G,39627776344458345,220.29424177219235,-0.4651252302197335,filtered_data,desi,39627776344458345,216
SDSS J144441.05-001343.4,2012ApJS..203...21A,39627782396841621,221.17103701921585,-0.2287201699220445,filtered_data,desi,39627782396841621,217
LBQS 1438+0002,2020yCat.1350....0G,39627782380067362,220.23837741817871,-0.1643013383131138,filtered_data,desi,39627782380067362,218
LEDA 1151089,2020yCat.1350....0G,39627782371676280,219.6980726155127,-0.1348437993996251,filtered_data,desi,39627782371676280,219
SDSS J143952.26-000423.9,2012ApJS..203...21A,39627788415669330,219.9677682006677,-0.0733151525026015,filtered_data,desi,39627788415669330,220
SDSS J143928.23+001538.1,2020yCat.1350....0G,39627794455464528,219.86763339473444,0.260593331320227,filtered_data,desi,39627794455464528,221
Z  19-27,2020yCat.1350....0G,39627746086750058,216.8286407824725,-1.6784609141173013,filtered_data,desi,39627746086750058,222
PG 1423-013,2020yCat.1350....0G,39627752118163083,216.4636870634971,-1.5547866164209865,filtered_data,desi,39627752118163083,223
QSO B1426-0131,2020yCat.1350....0G,39627746095137037,217.26265564158652,-1.7553801272846454,filtered_data,desi,39627746095137037,224
